p_val	avg_log2FC	pct.1	pct.2	p_val_adj
3.002338901745e-16	0.392454432428056	0.568	0.551	1.0393797043951e-11
5.20443017420249e-73	0.391340858308941	0.525	0.428	1.80172168200716e-68
2.94969628217798e-20	0.390335536464523	0.472	0.43	1.0211553559272e-15
2.80105787467024e-140	0.389429960923367	0.802	0.714	9.69698225632089e-136
2.15971929403367e-56	0.389349446444775	0.341	0.245	7.47673222401516e-52
7.4679418253628e-58	0.388612241640589	0.753	0.715	2.58532678052235e-53
6.06793281122364e-40	0.383370786860997	0.292	0.209	2.10065765991751e-35
2.71055964245493e-45	0.383287337861077	0.773	0.741	9.38368642621471e-41
1.31352162180277e-30	0.378789434195293	0.359	0.296	4.54728050251901e-26
8.49739407473061e-89	0.37814102310478	0.717	0.643	2.94171285473099e-84
8.41212783246904e-127	0.377606152614551	0.956	0.927	2.91219453432246e-122
