"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"expression"
"TRIAP1"	1.73580851361047	4.99573633153895	20.9059337575016	2.92340676687026e-09	5.7733005794639e-07	12.0450856695849	"Up"
"PPM1D"	1.43062242456508	5.61146661608737	20.9027517209095	2.92755298030788e-09	5.7733005794639e-07	12.0403356815171	"Stable"
"ZNF395"	-2.39938687142658	5.28528275187754	-20.876026358307	2.96263347692313e-09	5.78275101475349e-07	12.0332131767093	"Down"
"PVT1"	2.28419655639725	3.56107194666602	20.8582674944564	2.98620065764276e-09	5.78275101475349e-07	11.838877372853	"Up"
"SEMA4C"	-1.18950902706231	6.43595060414987	-20.8518742561689	2.99473547480581e-09	5.78275101475349e-07	11.9920340734026	"Stable"
"MYLIP"	-2.67559384757725	4.73706137582577	-20.7976711188861	3.06818628394276e-09	5.85087612056228e-07	11.9783751830601	"Down"
"RALGDS"	1.65355168484735	6.69958194141428	20.79482382163	3.07209923614361e-09	5.85087612056228e-07	11.9592823436956	"Up"
"FLNA"	1.95562136500104	11.3978287638505	20.7743522055062	3.10039536811295e-09	5.85397305443959e-07	11.7663414783871	"Up"
"PPP2CB"	1.24263480225903	6.06657471359199	20.7491386788788	3.13564168560931e-09	5.85397305443959e-07	11.9578692648583	"Stable"
"BNC2"	-2.08134786680926	5.60453184213143	-20.7482556478463	3.13688407218406e-09	5.85397305443959e-07	11.9732216452427	"Down"
"PABPC1"	-1.22032730170171	8.99433161605541	-20.6692395880583	3.25028615427505e-09	5.97183045391654e-07	11.8031126698935	"Stable"
"CPEB2"	2.57684527941319	3.95821126387978	20.6603337944613	3.26334858983475e-09	5.97183045391654e-07	11.8242455975094	"Up"
"BCAP31"	1.73881365660354	7.07045063987527	20.659571797426	3.26446892395639e-09	5.97183045391654e-07	11.8825584366286	"Up"
"AL133325.3"	6.41628850633356	-2.19157564273054	20.5452523701828	3.43745592176986e-09	6.2335070990205e-07	7.81532281936909	"Up"
"SHOC2"	1.34157538912831	5.30159742687909	20.4945002048226	3.51747457615217e-09	6.2335070990205e-07	11.8603617239485	"Stable"
"KANK2"	-1.65601466914672	7.49952870035812	-20.4799156393591	3.54084789318171e-09	6.2335070990205e-07	11.7788891671656	"Down"
"TNFRSF10C"	6.86822591611292	3.72844919240325	20.4785490287145	3.54304679627508e-09	6.2335070990205e-07	10.8563441338046	"Up"
"BX890604.2"	1.40516058009022	6.86975763593382	20.469371996638	3.55785189982284e-09	6.2335070990205e-07	11.7993364694813	"Stable"
"SRGAP3"	4.06823380115673	1.92621733111234	20.4653065864425	3.56443233860948e-09	6.2335070990205e-07	10.4818400142126	"Up"
"PLTP"	3.57487603461201	10.1007151322271	20.4653030957967	3.56443799447694e-09	6.2335070990205e-07	11.6774793041617	"Up"
"ARVCF"	2.11757434602003	4.18016809500124	20.4258903671652	3.62893383717019e-09	6.28678746441739e-07	11.7824564603751	"Up"
"B4GALNT4"	-2.76450256048219	5.02031640878257	-20.4191310936551	3.64012364874919e-09	6.28678746441739e-07	11.8234436723958	"Down"
"TMEM131"	1.37766611159558	6.49913754826756	20.397900411206	3.67551879255556e-09	6.30873305838271e-07	11.7802816847062	"Stable"
"PHGDH"	-3.2921779594654	5.0697638539477	-20.3556049250573	3.74716965550149e-09	6.39225763440947e-07	11.7906467979014	"Down"
"SUSD6"	2.47023342230505	5.76015343883175	20.3012334604253	3.8415510047263e-09	6.51330288033047e-07	11.7683254076846	"Up"
"AC008012.1"	3.48421000107234	4.11915641874071	20.2686906141083	3.89929354908247e-09	6.55066517042089e-07	11.6232866221254	"Up"
"CYCS"	1.87845183842909	5.93771616507499	20.2623226385954	3.91070423034549e-09	6.55066517042089e-07	11.7405594567537	"Up"
"PCBP2"	-1.39877295504204	7.93397722909631	-20.24500903041	3.941914879345e-09	6.563406295513e-07	11.6462718932762	"Stable"
"MIB2"	1.51821747880652	6.9674838657832	20.1919246236979	4.03933386845851e-09	6.68557842537842e-07	11.6642736399552	"Up"
"ATP6V0C"	1.07166362288963	7.93355319319673	20.172823432731	4.07503511407388e-09	6.70475895751115e-07	11.6104575446066	"Stable"
"CYP27A1"	-2.53245844186931	3.95783461017112	-20.1262350758622	4.16358009013155e-09	6.77827904612216e-07	11.6124492589131	"Down"
"GAA"	1.19770242498568	8.17662242270419	20.1154068892133	4.18446255339247e-09	6.77827904612216e-07	11.5723564156618	"Stable"
"TMEM123"	-1.27146780333323	6.24340476856239	-20.1010912606084	4.21224819110152e-09	6.77827904612216e-07	11.6486123292778	"Stable"
"UNC5C"	-4.7811288022673	4.36588151757185	-20.0985368512661	4.21722748679829e-09	6.77827904612216e-07	11.4830487101436	"Down"
"RUNX1T1"	-2.70676092352506	4.20586132199921	-20.0713694850177	4.27058830619909e-09	6.82459646219379e-07	11.6151745132945	"Down"
"ATP13A1"	1.73081714828362	6.94555956095484	20.0114686129316	4.39089371067827e-09	6.97675374394972e-07	11.5800695902403	"Up"
"NINJ1"	1.70016813133994	5.90455725849794	19.9647695282445	4.48727887760959e-09	7.06852575051737e-07	11.5998162953669	"Up"
"CHD4"	-1.3257990054802	8.45029596115194	-19.9589307615632	4.49949312321648e-09	7.06852575051737e-07	11.4837367193527	"Stable"
"PHPT1"	1.19054590797071	7.37257880812138	19.9186406514244	4.58478329492096e-09	7.16204967969507e-07	11.5125562512886	"Stable"
"LMNA"	1.83810168709376	8.92352296888268	19.8592154663609	4.71385350394716e-09	7.31313642049221e-07	11.4168974115644	"Up"
"HIC1"	-2.40243715182153	6.39599540866111	-19.8437344506474	4.74813242976368e-09	7.31313642049221e-07	11.5280764962609	"Down"
"PARD6G"	2.32813182694066	5.33881640041605	19.8382227134749	4.76040312202075e-09	7.31313642049221e-07	11.5596551677018	"Up"
"PHYHD1"	-2.17499308807571	3.53259636746115	-19.8217293802681	4.79733139296535e-09	7.32937344575794e-07	11.4295988519965	"Down"
"TUBG1"	2.09910649031814	5.11873469600373	19.7818689170355	4.8878896433112e-09	7.35909494360291e-07	11.534691933486	"Up"
"ASB1"	1.23280863560543	6.00578025052961	19.7786171359203	4.89536007407266e-09	7.35909494360291e-07	11.5035987376832	"Stable"
"NOMO1"	1.32716909579504	7.25303800332744	19.7776326715391	4.89762420136846e-09	7.35909494360291e-07	11.4497213701295	"Stable"
"CASK"	1.7425433194027	6.37992129248889	19.7667851555309	4.9226485632962e-09	7.35909494360291e-07	11.4863026380775	"Up"
"UBA7"	-3.12203748027365	4.55985323407971	-19.7549547671538	4.9501012257808e-09	7.3605622825701e-07	11.4926845778312	"Down"
"ARHGAP5-AS1"	2.04015732870535	3.11257611996961	19.7122078957076	5.05071275928173e-09	7.47021909492488e-07	11.2735569308285	"Up"
"WDR19"	-2.47317466899954	3.63828942792392	-19.6762182214629	5.13717046471498e-09	7.53423993277767e-07	11.3658276143717	"Down"
"TNFRSF1B"	-2.19737447754083	4.97376621949276	-19.6628966584743	5.16958562880233e-09	7.53423993277767e-07	11.4791684378617	"Down"
"EIF3L"	-1.14781284059847	7.54234414204431	-19.6590578670864	5.17896832664269e-09	7.53423993277767e-07	11.3764907995857	"Stable"
"SBF1"	0.978618307875633	7.67248417653574	19.6495122657741	5.20238102241715e-09	7.53423993277767e-07	11.365448527937	"Stable"
"PRDM11"	-2.66362962018729	4.3760910727446	-19.633844843193	5.24106230041215e-09	7.55093151944353e-07	11.438222513884	"Down"
"CPSF4"	1.47125318862483	5.5835563772688	19.5949484836469	5.33847196316207e-09	7.65162636122085e-07	11.4318894512493	"Stable"
"FOXM1"	-4.75617463206236	1.10202266743063	-19.575005013823	5.3891902425389e-09	7.68470891713009e-07	9.3690410139511	"Down"
"SAC3D1"	2.01375969761566	4.99795807150503	19.5467738838452	5.46189583796467e-09	7.73142495985848e-07	11.4243369997906	"Up"
"MLEC"	1.08585989192834	8.62610500694072	19.5407453257291	5.47756137917039e-09	7.73142495985848e-07	11.2674363371249	"Stable"
"INSYN2A"	5.98824866159902	1.32277871917756	19.5223721722368	5.52561151119005e-09	7.75979723357099e-07	8.97869994642727	"Up"
"ORMDL2"	1.94034787671679	4.52256476197422	19.5117978888336	5.55347640610166e-09	7.75979723357099e-07	11.4013225093035	"Up"
"SESN2"	1.84707300418537	6.46264168028635	19.5001963358675	5.58422674337955e-09	7.76375044132058e-07	11.3531506715686	"Up"
"AL139158.2"	6.86556821269166	-1.98361087341426	19.4770843029367	5.64604728522808e-09	7.78821682607481e-07	7.72828047222505	"Up"
"ADGRA3"	1.27467388031887	6.21726230509041	19.4727061426142	5.65784290752755e-09	7.78821682607481e-07	11.346034451108	"Stable"
"FAT1"	3.21281564328111	8.92345678908416	19.430200719399	5.77378438717828e-09	7.90866249605317e-07	11.2144089438541	"Up"
"SDHA"	1.34207729926475	6.96634000378374	19.4117154007303	5.82502208040255e-09	7.9095322484049e-07	11.2820409202574	"Stable"
