R022_3P	R044_3P	R022_12P	R044_12P	R046_12P	R046_3P	R058_12P	R058_3P	R085_12P	R085_3P	R171_3P	R171_12P	R209_3P	R209_12P	R212_3P	R212_12P	R218_3P	R218_12P	R219_12P	R219_3P	R225_3P	R225_12P	R227_3P	R227_12P	R243_12P	R243_3P	R256_3P	R256_12P	R280_12P	R291_12P	R280_3P	R306_12P	R291_3P	R308_12P	R306_3P	R312_12P	R308_3P	R312_3P	R317_12P	R317_3P	R330_12P	R330_3P	R334_12P	R334_3P	R345_3P	R345_12P	R356_3P	R356_12P	R358_3P	R358_12P	R361_12P	R361_3P	R364_12P	R364_3P	R382_12P	R382_3P	R393_12P	R393_3P	R438_12P	R438_3P	R479_12P	R479_3P
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	6	194	978	1156	213	36	143	114	386	251	353	611	74	3	11	366	358	1311	606	3	1	3864	113	34	44	567	446	1281	20	89	5	61	1633	5	117	1142	716	109	292	1421	95	487	1	25	679	97	296	401	710	30	103	1847	260	1897	309	55	154	1140	766	16	24
0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	49	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	63	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	1	0	3	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0
0	0	8	20	41	3	0	20	5	10	35	21	36	9	0	0	6	20	41	4	3	2	209	62	0	3	4	8	49	3	10	0	3	51	0	0	37	29	14	7	46	2	36	0	1	32	4	35	10	35	2	11	44	0	62	22	0	10	31	7	0	2
0	0	2	6	7	0	0	1	0	5	8	0	6	0	0	0	10	13	7	3	0	15	35	0	0	0	0	0	55	0	0	0	0	9	0	0	2	9	0	2	28	0	13	0	0	8	0	3	8	15	0	0	10	0	10	1	0	0	7	6	0	0
0	0	0	0	0	1	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
